"Server"|"Name"|"DefaultDatabase"|"CreateDate"|"DateLastModified"|"IsDisabled"
"[GRASPARASQL1\SAGE100]"|"BUILTIN\Administrators"|"master"|"3/9/2015 4:00:26 PM"|"3/9/2015 4:00:26 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"GRA2000\assistabicom"|"master"|"3/23/2015 12:01:54 PM"|"3/23/2015 12:01:54 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"GRA2000\CU1067"|"SPARA"|"3/23/2015 12:06:07 PM"|"3/23/2015 12:06:07 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"GRA2000\IG_ADMIN_SQLSYSADMIN"|"master"|"11/12/2021 3:26:20 PM"|"11/12/2021 3:26:20 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"GRA2000\R00814"|"master"|"3/9/2015 4:00:26 PM"|"3/9/2015 4:00:26 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"GRA2000\R10835"|"master"|"6/27/2016 10:40:22 AM"|"6/27/2016 10:40:22 AM"|"False"
"[GRASPARASQL1\SAGE100]"|"GRA2000\R11030"|"master"|"6/23/2021 9:42:38 AM"|"6/23/2021 9:42:39 AM"|"False"
"[GRASPARASQL1\SAGE100]"|"NT AUTHORITY\SYSTEM"|"master"|"3/9/2015 4:00:26 PM"|"3/9/2015 4:00:26 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"NT SERVICE\MSSQL$SAGE100"|"master"|"3/9/2015 4:00:26 PM"|"3/9/2015 4:00:26 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"NT SERVICE\SQLAgent$SAGE100"|"master"|"3/9/2015 4:00:28 PM"|"3/9/2015 4:00:28 PM"|"False"
"[GRASPARASQL1\SAGE100]"|"NT SERVICE\SQLWriter"|"master"|"9/29/2016 11:51:09 AM"|"9/29/2016 11:51:09 AM"|"False"
"[GRASPARASQL1\SAGE100]"|"NT SERVICE\winmgmt"|"master"|"9/29/2016 11:51:09 AM"|"9/29/2016 11:51:09 AM"|"False"
"[GRASPARASQL1\SAGE100]"|"sa"|"master"|"4/8/2003 9:10:35 AM"|"12/20/2019 6:18:12 PM"|"False"
"[GRASPARASQL1\SPARA]"|"BUILTIN\Administrators"|"master"|"3/9/2015 4:09:10 PM"|"3/9/2015 4:09:10 PM"|"False"
"[GRASPARASQL1\SPARA]"|"GRA2000\IG_ADMIN_SQLSYSADMIN"|"master"|"11/12/2021 3:26:20 PM"|"11/12/2021 3:26:20 PM"|"False"
"[GRASPARASQL1\SPARA]"|"GRA2000\R00814"|"master"|"3/9/2015 4:09:10 PM"|"3/9/2015 4:09:10 PM"|"False"
"[GRASPARASQL1\SPARA]"|"GRA2000\R10835"|"master"|"3/24/2015 1:49:35 PM"|"1/9/2020 7:03:23 PM"|"False"
"[GRASPARASQL1\SPARA]"|"GRA2000\R11030"|"master"|"6/23/2021 9:42:38 AM"|"6/23/2021 9:42:38 AM"|"False"
"[GRASPARASQL1\SPARA]"|"NT AUTHORITY\SYSTEM"|"master"|"3/9/2015 4:09:10 PM"|"3/9/2015 4:09:10 PM"|"False"
"[GRASPARASQL1\SPARA]"|"NT SERVICE\MSSQL$SPARA"|"master"|"3/9/2015 4:09:10 PM"|"3/9/2015 4:09:10 PM"|"False"
"[GRASPARASQL1\SPARA]"|"NT SERVICE\SQLAgent$SPARA"|"master"|"3/9/2015 4:09:12 PM"|"3/9/2015 4:09:12 PM"|"False"
"[GRASPARASQL1\SPARA]"|"NT SERVICE\SQLWriter"|"master"|"9/29/2016 12:03:35 PM"|"9/29/2016 12:03:35 PM"|"False"
"[GRASPARASQL1\SPARA]"|"NT SERVICE\winmgmt"|"master"|"9/29/2016 12:03:35 PM"|"9/29/2016 12:03:35 PM"|"False"
"[GRASPARASQL1\SPARA]"|"sa"|"master"|"4/8/2003 9:10:35 AM"|"1/9/2020 7:04:16 PM"|"False"
"[GRASPARASQL1\SPARA]"|"sa_R10835"|"PTF"|"1/9/2020 7:16:03 PM"|"2/4/2020 11:59:56 AM"|"False"
"[GRASPARASQL2]"|"BUILTIN\Administrators"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2]"|"GRA2000\IG_ADMIN_SQLSYSADMIN"|"master"|"11/12/2021 3:26:19 PM"|"11/12/2021 3:26:20 PM"|"False"
"[GRASPARASQL2]"|"GRA2000\R11030"|"master"|"6/23/2021 9:42:39 AM"|"6/23/2021 9:42:39 AM"|"False"
"[GRASPARASQL2]"|"NT Service\MSSQLSERVER"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2]"|"NT SERVICE\SQLSERVERAGENT"|"master"|"11/25/2019 4:39:26 PM"|"11/25/2019 4:39:26 PM"|"False"
"[GRASPARASQL2]"|"NT SERVICE\SQLWriter"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2]"|"NT SERVICE\Winmgmt"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2]"|"sa"|"master"|"4/8/2003 9:10:35 AM"|"6/22/2021 1:08:31 PM"|"False"
"[GRASPARASQL2]"|"USR_SAGE"|"master"|"11/27/2019 2:49:41 PM"|"12/16/2019 10:36:49 AM"|"False"
"[GRASPARASQL2REC]"|"BUILTIN\Administrators"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2REC]"|"GRA2000\IG_ADMIN_SQLSYSADMIN"|"master"|"11/12/2021 3:26:19 PM"|"11/12/2021 3:26:20 PM"|"False"
"[GRASPARASQL2REC]"|"GRA2000\R11030"|"master"|"6/23/2021 9:42:38 AM"|"6/23/2021 9:42:39 AM"|"False"
"[GRASPARASQL2REC]"|"NT Service\MSSQLSERVER"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2REC]"|"NT SERVICE\SQLSERVERAGENT"|"master"|"11/25/2019 4:39:26 PM"|"11/25/2019 4:39:26 PM"|"False"
"[GRASPARASQL2REC]"|"NT SERVICE\SQLWriter"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2REC]"|"NT SERVICE\Winmgmt"|"master"|"11/25/2019 4:39:25 PM"|"11/25/2019 4:39:25 PM"|"False"
"[GRASPARASQL2REC]"|"sa"|"master"|"4/8/2003 9:10:35 AM"|"11/27/2019 2:56:28 PM"|"False"
"[GRASPARASQL2REC]"|"USR_SAGE"|"master"|"11/27/2019 2:49:41 PM"|"12/16/2019 10:36:49 AM"|"False"
"[GRASRLYOSQLEZV]"|"GRA2000\Domain Admins"|"master"|"8/20/2019 1:47:30 PM"|"8/20/2019 1:47:30 PM"|"False"
"[GRASRLYOSQLEZV]"|"GRA2000\IG_ADMIN_SQLSYSADMIN"|"master"|"11/12/2021 3:26:19 PM"|"11/12/2021 3:26:20 PM"|"False"
"[GRASRLYOSQLEZV]"|"GRA2000\IG_Developpeur"|"master"|"10/17/2019 10:39:17 AM"|"10/17/2019 10:44:15 AM"|"False"
"[GRASRLYOSQLEZV]"|"GRA2000\LocalAdmin_GRASRLYOSQLEZV"|"master"|"9/30/2019 9:46:51 AM"|"9/30/2019 9:46:51 AM"|"False"
"[GRASRLYOSQLEZV]"|"GRA2000\R00183"|"master"|"12/2/2020 12:00:23 PM"|"12/2/2020 1:27:43 PM"|"False"
"[GRASRLYOSQLEZV]"|"GRA2000\R11030"|"master"|"6/23/2021 9:42:38 AM"|"6/23/2021 9:42:39 AM"|"False"
